Ticker,Name,Industry,Dividend Yield,Dividend Safety
SYK,Stryker,Health Care Equipment,1.10%,Very Safe
SYY,Sysco,Food Distributors,2.72%,Safe
TEL,TE Connectivity Ltd.,Electronic Manufacturing Services,1.81%,Very Safe
TGT,Target,Consumer Staples Merchandise Retail,3.29%,Very Safe
THG,Hanover Insurance Group,Property and Casualty Insurance,2.66%,Safe
THO,THOR Industries,Automobile Manufacturers,1.86%,Safe
TNC,Tennant Company,Industrial Machinery and Supplies and Components,1.30%,Safe
HWKN,Hawkins,Commodity Chemicals,0.99%,
TR,Tootsie Roll,Packaged Foods and Meats,1.05%,Very Safe
KWR,Quaker Chemical Corporation,Specialty Chemicals,0.97%,
TROW,T. Rowe Price,Asset Management and Custody Banks,4.82%,Safe
TRV,Travelers Companies,Property and Casualty Insurance,2.18%,Safe
TSCO,Tractor Supply,Other Specialty Retail,1.98%,Safe
TT,Trane Technologies,Building Products,1.31%,Safe
SXI,Standex International Corporation,Industrial Machinery and Supplies and Components,0.87%,
TTC,Toro,Agricultural and Farm Machinery,1.66%,Very Safe
TXN,Texas Instruments,Semiconductors,3.26%,Very Safe
UNH,UnitedHealth,Managed Health Care,1.37%,Very Safe
UNP,Union Pacific,Rail Transportation,2.23%,Very Safe
UPS,United Parcel Service,Air Freight and Logistics,4.20%,Safe
V,Visa,Transaction and Payment Processing Services,0.81%,Very Safe
WDFC,WD-40 Company,Household Products,1.38%,Safe
LAD,Lithia Motors,Automotive Retail,0.74%,Borderline Safe
RNR,RenaissanceRe Holdings Ltd.,Reinsurance,0.73%,
WEC,WEC Energy,Multi-Utilities,3.73%,Very Safe
WLK,Westlake Corporation,Commodity Chemicals,1.52%,Very Safe
WLY,John Wiley & Sons,Publishing,4.75%,Safe
WM,Waste Management,Environmental and Facilities Services,1.62%,Safe
AEL,American Equity,Life and Health Insurance,0.65%,
WMT,Walmart,Consumer Staples Merchandise Retail,1.46%,Very Safe
WRB,W. R. Berkley Corporation,Property and Casualty Insurance,0.60%,Very Safe
MORN,Morningstar,Financial Exchanges and Data,0.58%,
WSM,Williams-Sonoma,Homefurnishing Retail,1.83%,Safe
WST,West Pharmaceutical Services,Life Sciences Tools and Services,0.23%,Very Safe
WTRG,Essential Utilities,Water Utilities,3.43%,Very Safe
CHDN,Churchill Downs,Casinos and Gaming,0.33%,
DDS,Dillard's,Broadline Retail,0.28%,
CHE,Chemed Corporation,Health Care Services,0.28%,
XEL,Xcel Energy,Electric Utilities,3.41%,Safe
ENSG,Ensign Group,Health Care Facilities,0.21%,
YORW,York Water Company,Water Utilities,2.15%,Safe
